u_mag,g_mag,r_mag,i_mag,z_mag,ra,dec
20.222237,18.057743,17.115358,16.799196,16.63488,180.0637943,24.50205825
16.840368,15.714016,15.300509,15.307917,15.218669,180.0924278,22.57618463
20.402269,19.414118,18.879028,18.698259,18.630905,180.1234522,21.43142624
19.70343,17.425039,16.452406,16.056095,15.850859,180.0928535,22.78925917
20.850714,19.853859,19.472546,19.32333,19.266376,180.0930733,20.69859348
19.449482,17.798319,17.157562,16.919407,16.855959,180.093738,23.81760257
19.717337,17.420601,16.40027,16.004866,15.86869,180.0758784,24.60466239
18.535,17.530966,17.103539,16.979967,16.872448,180.0939439,21.13299871
20.493675,19.648582,19.289267,19.173395,19.199202,180.1090566,24.93290933
18.160677,16.724592,16.231213,16.04767,15.969956,180.0767728,23.88480981
19.222851,18.190643,17.786463,17.681623,17.647282,180.1090991,20.25487951
19.594326,18.632006,18.414072,18.323156,18.336926,180.1467603,20.51307821
20.229216,19.313246,19.042643,18.89316,18.856514,180.109108,24.30472305
20.110691,19.163752,18.905264,18.815653,18.840387,180.1098575,23.39834305
20.185162,18.456615,17.813314,17.562733,17.523087,180.1472438,22.99503152
19.547049,18.451757,18.041685,17.898001,17.838049,180.1106335,24.01671304
19.473726,18.43322,18.093216,17.895811,17.892292,180.1111223,23.32222567
19.709679,18.777279,18.507402,18.411789,18.403456,180.0849994,24.03776595
20.477142,18.771984,18.048611,17.78664,17.6395,180.0852891,20.82228827
18.285917,16.984303,16.535036,16.370388,16.28846,180.1482797,20.36892581
20.647127,18.493839,17.597603,17.250584,17.115639,180.0860092,24.63377432
18.939472,16.726881,15.91752,15.676764,15.530994,180.0907642,20.26811495
19.122637,18.093065,17.876833,17.797258,17.826984,180.0911036,24.48722986
19.053875,17.985155,17.53783,17.400999,17.352495,180.1289394,24.25817422
20.76251,19.916502,19.600328,19.377829,19.429531,180.1381447,23.99241139
19.621872,18.69956,18.410152,18.354774,18.260813,180.1383699,22.01151764
19.553043,18.49437,18.082129,17.948828,17.90958,180.1393725,20.2673846
20.38723,18.148771,17.226622,16.89958,16.720554,180.139433,24.09082662
19.48427,18.030361,17.456886,17.240807,17.125572,180.139909,20.27357459
19.370638,17.747751,17.099638,16.862682,16.744543,180.1641752,22.64428931
18.208214,17.180958,16.78301,16.64979,16.648319,180.1400974,24.81931443
20.661531,18.283932,17.054798,16.550739,16.213259,180.147329,20.22318864
19.272165,18.270672,17.880434,17.77677,17.7687,180.1481674,21.41097539
