u_mag,g_mag,r_mag,i_mag,z_mag
18.0261,16.727491,16.243711,16.07778,15.996863
18.04031,16.785666,16.335909,16.194916,16.108496
20.286177,17.629028,16.257353,15.618394,15.315303
17.869957,16.430431,15.866571,15.654889,15.649948
18.791508,17.779402,17.559711,17.446096,17.522373
18.854757,17.298504,16.766178,16.59927,16.550678
20.43812,17.774815,16.6383,16.148872,15.81223
17.950718,16.584387,16.059856,15.860809,15.818509
17.346218,16.313707,15.905754,15.780612,15.745622
18.596462,17.431261,17.039665,16.897682,16.825382
19.538445,17.429354,16.636253,16.378054,16.229136
20.058283,17.804756,16.962399,16.61906,16.423784
18.731394,16.699024,15.944524,15.637682,15.467419
20.385622,17.822584,16.738195,16.304861,16.029547
19.89655,17.390661,16.22925,15.745769,15.459096
19.148542,17.895092,17.377132,17.179224,17.073803
18.74858,17.236235,16.58668,16.333992,16.140661
18.91128,16.648695,15.704874,15.369082,15.198767
20.169254,17.824009,16.862085,16.476185,16.25595
17.089943,16.069687,15.744021,15.630486,15.570364
17.882587,16.793232,16.440977,16.221056,16.27217
16.70526,15.845749,15.652268,15.563484,15.563666
19.107924,17.624435,17.118225,16.92815,16.84391
19.141214,17.48043,16.810925,16.572857,16.466822
18.16981,16.239979,15.532351,15.283616,15.169936
19.471247,17.813854,17.183134,16.95581,16.84203
18.722591,17.452494,16.995245,16.826551,16.783
20.10646,17.744728,16.705402,16.300167,16.036114
18.43626,17.160917,16.768436,16.554504,16.498947
18.394403,17.235413,16.78929,16.653522,16.578814
19.062746,17.89951,17.511795,17.272842,17.244387
18.953224,17.78552,17.35152,17.209213,17.183344
18.179806,17.066498,16.642445,16.50883,16.435
17.123589,16.035357,15.651999,15.551599,15.51271
19.232891,17.649616,17.054348,16.864725,16.735083
18.93286,17.554209,17.032518,16.869717,16.803877
17.793165,16.695894,16.22763,16.03117,16.036049
18.650848,17.509714,17.116526,17.01412,16.950243
18.62565,17.655275,17.309042,17.152243,17.137808
19.49411,17.94716,17.35684,17.131859,17.05666
18.579199,16.63127,15.86782,15.614303,15.480698
18.952047,17.81208,17.368101,17.226425,17.095352
19.376585,17.907139,17.278353,17.010603,16.875582
17.96306,16.775002,16.343277,16.234774,16.14705
19.197567,17.507092,16.837942,16.584318,16.458975
18.132019,16.643295,16.02829,15.80868,15.706031
18.303764,16.911543,16.379385,16.17708,16.092476
18.442278,17.12655,16.592566,16.434902,16.348404
18.97894,17.328272,16.7185,16.548409,16.41676
19.455751,17.921257,17.384136,17.17513,17.05324
19.752842,17.92096,17.285734,17.007961,16.871536
18.766745,17.40676,17.102024,16.9842,16.90887
19.779596,17.146374,15.87722,15.302592,15.02189
19.250666,17.736305,17.139166,16.926266,16.79268
19.423647,17.92377,17.366001,17.145699,16.980682
17.336784,15.944209,15.435458,15.355819,15.135395
19.103422,17.344015,16.729445,16.499723,16.394775
19.881893,17.441557,16.383078,15.965029,15.754816
17.83244,16.477749,15.977764,15.811205,15.735384
20.088772,17.446987,16.13333,15.597601,15.339636
18.660736,17.534935,17.086147,16.915903,16.86886
18.934088,17.867516,17.532606,17.38788,17.330013
19.482952,17.583656,16.8571,16.624548,16.442873
19.084204,16.882187,16.022017,15.710164,15.552855
18.749594,16.518024,15.644648,15.323376,15.166621
18.80663,17.548122,17.090483,16.921259,16.85136
17.152193,15.964345,15.509356,15.342072,15.314282
18.723679,17.730957,17.33216,17.206144,17.134098
18.994005,17.922482,17.503487,17.369152,17.34697
18.983961,17.287148,16.581959,16.34017,16.171309
17.499489,16.272158,15.802229,15.644176,15.645781
17.249767,15.891166,15.375118,15.204101,15.147026
17.15349,15.896464,15.361351,15.176961,15.082554
19.186535,17.18551,16.422634,16.134476,16.002449
19.053947,17.30781,16.600298,16.349115,16.193506
19.26831,17.978745,17.548882,17.420912,17.358253
17.94514,16.203043,15.950604,15.825637,15.68343
17.481787,16.255314,15.816139,15.711328,15.60539
20.503483,17.873653,16.586437,15.793768,15.293203
17.88164,16.731634,16.316042,16.158543,16.156834
17.496605,16.353357,15.936577,15.780431,15.751756
19.389793,17.975187,17.448269,17.275938,17.187933
20.237015,17.525728,16.228024,15.536757,15.202822
19.174877,17.794746,17.173918,16.930126,16.840382
20.400213,17.942585,16.798983,16.36543,16.136934
19.23436,17.380968,16.502785,16.225994,16.085304
20.135412,17.70749,16.611048,16.577177,15.982297
18.00607,16.995459,16.661377,16.501657,16.505838
18.023684,16.619144,16.012417,15.805654,15.737241
18.824762,17.511292,17.015596,16.832129,16.754276
18.841215,16.729528,15.909443,15.632228,15.479025
17.595472,16.568338,16.206139,16.124573,16.131151
20.409185,17.80571,16.615685,16.168688,15.936159
17.367723,15.914138,15.28672,15.072874,15.01823
19.384193,17.797716,17.141964,17.100782,16.882828
17.787107,16.604422,16.268597,16.137169,16.07452
19.055506,17.359293,16.68466,16.433636,16.247105
20.10329,17.872929,16.877972,16.485178,16.226734
18.657906,17.024488,16.415005,16.162176,16.059052
17.488636,16.085932,15.571505,15.372384,15.315258
17.70761,16.565285,16.231255,16.059912,16.032211
20.46399,17.892267,16.68362,16.1989,15.948688
18.790525,17.631023,17.117683,16.930017,16.81877
19.400314,17.06254,15.875041,15.402014,15.113605
17.39809,16.349453,16.00468,15.872499,15.851494
19.6921,17.625172,16.730362,16.397987,16.242527
18.249794,17.420202,17.12022,17.025192,17.021736
18.832575,16.613539,15.677734,15.32858,15.124675
17.885233,16.187033,15.503856,15.220114,15.105505
17.843359,16.67181,16.179054,16.006613,15.943502
18.96301,17.101898,16.399706,16.198986,16.094477
18.42685,16.832335,16.18974,15.938438,15.758739
18.42628,17.263525,17.157673,17.149496,17.139128
19.845121,17.841389,16.989408,16.713627,16.545074
17.467958,16.352345,16.22999,16.221395,16.28884
19.287737,17.996302,17.517662,17.284685,17.211569
19.116852,16.799809,15.859614,15.524484,15.393232
19.398664,17.935041,17.464102,17.28584,17.150537
17.970995,16.734135,16.10115,15.862271,15.726251
18.260427,17.285263,17.000877,16.89847,16.908587
18.910069,17.82903,17.40718,17.309084,17.325712
18.023329,16.698467,16.237244,16.074339,16.084467
17.151052,15.980442,15.595318,15.420118,15.416551
17.763105,16.824106,16.532103,16.44904,16.408432
19.634912,17.992746,17.415419,17.169584,17.10846
18.73697,17.718315,17.432987,17.34148,17.332966
19.952267,17.541931,16.468027,16.061766,15.859344
18.416353,16.89228,16.273548,16.067072,15.989591
17.515812,16.384094,16.006588,15.899467,15.884932
17.491035,16.426348,16.044113,15.900999,15.835687
17.420198,16.451403,16.102257,15.96142,15.936837
19.174944,17.313145,16.587185,16.371233,16.24189
19.176699,17.6694,17.0924,16.870016,16.817024
18.246641,17.363926,17.051323,16.920849,16.930452
19.53152,17.641731,16.929344,16.657555,16.5414
18.476301,17.472837,17.08972,16.923452,16.884226
18.337729,17.4241,17.100874,16.987173,16.938597
19.546494,17.990366,17.404547,17.191648,17.047855
18.76184,17.503422,17.11912,16.908974,16.831472
19.252193,17.383478,16.689484,16.456768,16.311508
17.297617,15.897597,15.384308,15.171724,15.089793
17.78932,16.624619,16.197834,16.00149,15.940591
19.989885,17.676584,16.596758,16.172873,15.917861
17.669193,16.257778,15.715383,15.540572,15.452482
18.257624,17.36679,17.152891,17.067158,17.043743
17.402832,16.101013,15.64807,15.491305,15.448141
19.703016,17.163248,16.048416,15.625725,15.387624
18.647724,17.158628,16.636871,16.48013,16.396942
18.63857,17.57417,17.174038,16.937237,16.812819
19.470884,17.852026,17.231468,16.9848,16.880995
19.742249,17.30178,16.058004,15.811768,15.2416
18.028929,17.207388,16.961063,16.859835,16.851948
17.007505,15.673067,15.218996,15.047653,15.010244
19.254694,17.533705,16.895414,16.635454,16.543959
18.01896,16.43387,15.875058,15.657537,15.560273
17.822327,16.879827,16.615997,16.364775,16.454554
17.65463,16.503078,16.117283,15.990913,15.946107
18.151237,17.060843,16.607548,16.497458,16.462753
19.740852,17.201477,16.071045,15.604674,15.337404
18.262203,16.787884,16.21885,16.004572,15.883739
19.451185,17.055138,15.910319,15.447351,15.160594
18.54879,16.657784,15.909431,15.620525,15.486176
19.317644,17.153637,16.278784,15.971648,15.809527
18.196257,16.860237,16.271702,16.034042,15.933207
17.208824,15.813915,15.293736,15.100546,15.071459
20.264194,17.60454,16.425838,15.962483,15.73985
19.53094,17.389975,16.490707,16.145676,15.967927
16.294054,15.317455,15.546171,15.739834,15.880786
19.497547,17.237108,16.341982,16.05649,15.852234
19.06338,16.988064,16.181866,15.878822,15.744311
20.098162,17.689785,16.751997,16.45145,16.273062
18.978601,17.650991,17.193914,17.016266,16.945332
18.395088,16.289421,15.489154,15.268843,15.106847
19.025648,17.457897,16.822998,16.59811,16.529314
19.492983,17.855389,17.26245,17.025621,16.9719
18.637772,16.887695,16.296143,16.068987,16.0114
20.568546,17.979597,16.602234,15.974279,15.682179
19.803318,17.240625,16.04547,15.562841,15.31417
18.266321,17.13036,16.73858,16.604631,16.54672
17.089048,15.891239,15.431193,15.271554,15.204518
18.638376,17.610178,17.252861,17.13165,17.10287
18.348991,17.238722,16.850819,16.700289,16.688478
19.21996,17.836367,17.237389,16.952602,16.769085
18.487879,16.447447,15.693547,15.49509,15.370727
19.7472,17.810575,16.9725,16.665668,16.483309
20.302536,17.7438,16.604986,16.165895,15.976555
20.033268,17.691122,16.752842,16.440458,16.259335
18.638247,17.667896,17.35953,17.288185,17.24579
17.31722,16.125269,15.716519,15.579709,15.550019
18.222511,17.022911,16.554575,16.370525,16.331446
19.61694,17.730986,17.02383,16.80836,16.683105
18.802103,17.692945,17.253012,17.059837,17.04804
18.935741,16.795208,15.908393,15.605602,15.359076
17.499775,16.093884,15.626471,15.537843,15.439648
18.23439,16.678661,16.11187,15.964328,15.829942
18.061407,16.83519,16.407326,16.273441,16.14329
19.792896,17.533644,16.461405,16.156353,15.86552
18.076893,16.352783,15.688457,15.573179,15.352135
19.632895,17.48685,16.604105,16.468664,15.978802
17.62419,16.624008,16.21117,16.097965,16.015339
18.067837,16.947937,16.48844,16.339731,16.30985
17.867407,16.924498,16.626562,16.592186,16.433727
18.672066,16.897436,16.226828,16.04442,15.816936
19.182827,17.887308,17.42335,17.263401,17.158182
17.720837,16.486666,16.065762,15.95564,15.896996
17.740414,16.785755,16.470888,16.31868,16.23431
19.125458,17.419739,16.725847,16.563421,16.373209
18.531013,17.009296,16.474617,16.28189,16.214756
19.214739,17.949879,17.40185,17.214352,17.107134
19.019958,17.29618,16.63734,16.404167,16.259836
18.45263,17.56737,17.300194,17.191761,17.134457
19.07222,16.853857,16.00558,15.668274,15.498866
19.793541,17.544245,16.60979,16.253849,16.019415
19.713955,17.335407,16.211073,15.747266,15.523042
18.222101,17.235054,16.907923,16.771595,16.796965
20.158283,17.695076,16.672285,16.271067,16.090622
19.58213,17.019508,15.904145,15.461164,15.23178
18.777578,17.096125,16.474699,16.222845,16.093683
18.141317,16.594248,15.998691,15.79165,15.705891
18.710232,16.92782,16.24419,15.981517,15.860128
18.75329,17.710375,17.317974,17.173494,17.102383
19.752314,17.645485,16.679583,16.311556,16.09298
18.23597,16.529772,15.895435,15.664949,15.552238
18.628057,17.134869,16.657652,16.478561,16.460073
17.942278,16.679144,16.154026,16.052113,15.97244
20.306307,17.808884,16.71329,16.341085,16.078701
19.03526,17.783863,17.35795,17.215143,17.110527
17.158758,15.995026,15.531819,15.360203,15.286382
18.550722,17.236786,16.759722,16.607527,16.520035
18.102571,16.695065,16.18018,15.992141,15.912119
20.473753,17.754686,16.374033,15.505946,15.094742
17.261253,15.931702,15.465967,15.277593,15.198275
16.987362,15.778663,15.377559,15.200458,15.145887
18.24246,17.246765,16.922928,16.776539,16.736692
18.99311,17.300337,16.618069,16.353321,16.220486
19.278984,17.949158,17.440208,17.240986,17.167555
18.318483,17.30247,16.91101,16.702223,16.767767
18.029846,16.609247,16.045979,15.825087,15.76216
18.955168,16.807302,15.940359,15.593434,15.422637
19.52972,17.035717,15.937654,15.467368,15.343714
19.449718,17.10616,16.10884,15.68167,15.590215
18.497896,17.30388,16.816177,16.606813,16.517912
18.582943,17.45061,17.036676,16.882175,16.824741
17.707335,16.290253,15.784471,15.613059,15.531791
18.389511,17.096128,16.656507,16.498333,16.43205
19.027462,17.914204,17.521858,17.400206,17.348549
19.446243,17.308243,16.405485,16.064783,15.896454
19.196127,17.095913,16.200384,15.874462,15.716743
19.073967,16.869106,16.012835,15.650367,15.473865
19.944197,17.57695,16.59568,16.243786,16.0941
17.88575,16.294065,15.659534,15.306603,15.352455
19.688154,17.199007,16.107239,15.684245,15.492667
