Title,Director,Cast,Country,"Subgenre/Notes
"
Slither,James Gunn,"['Nathan Fillion', 'Elizabeth Banks', 'Gregg Henry']",United States,[nb 16]
S.S. Doomtrooper,David Flores,"['Corin Nemec', 'Ben Cross', ', James Pomitcher']",United States,Television film
Superman Returns,Bryan Singer,"['Brandon Routh', 'Kate Bosworth', 'James Marsden', 'Kevin Spacey', 'Parker Posey']",United States,Superhero
Ultimate Avengers - The Movie,"Curt Geda, ","['Justin Gross', 'Grey Griffin', 'Michael Massee']",United States,Animated film
Ultraviolet,Kurt Wimmer,"['Milla Jovovich', 'Cameron Bright']",United States,Action
Unidentified,Rich Christiano,"['Jonathan Aube', 'Josh Adamson', 'Rebecca St. James']",United States,Supernatural
V for Vendetta,James McTeigue,"['Natalie Portman', 'Hugo Weaving']",United States,[nb 17]
Wrestlemaniac,Jesse Baget,"['Rey Misterio, Sr.', 'Irwin Keyes', 'Leyla Milani']",United States,Horror
X-Men: The Last Stand,Brett Ratner,"['Hugh Jackman', 'Halle Berry', 'Ian McKellen', 'Anna Paquin', 'Patrick Stewart']",United States,[nb 18]
Zerophilia,Martin Curland,"['Taylor Handley', 'Dustin Seavey']",United States,Romantic comedy
Aliens vs. Predator: Requiem,Greg Strause,"['Reiko Aylesworth', 'Steven Pasquale', 'Shareeka Epps']",United States,Action horror
Appleseed Ex Machina,Shinji Aramaki,[],Japan,Anime
28 Weeks Later,Juan Carlos Fresnadillo,"['Robert Carlyle', 'Rose Byrne', 'Jeremy Renner']",Spain,Post-apocalyptic horror
Big Man Japan,Hitoshi Matsumoto,"['Hitoshi Matsumoto', 'Riki Takeuchi']",Japan,Comedy
Chrysalis,Julien Leclercq,"['Albert Dupontel', 'Estelle Lefébure', 'Marie Guillard']",France,Crime drama
Eden Log,Franck Vestiel,"['Clovis Cornillac', 'Vimala Pons']",France,Horror mystery
Fantastic Four: Rise of the Silver Surfer,Tim Story,"['Ioan Gruffudd', 'Jessica Alba', 'Chris Evans', 'Michael Chiklis']",United States,Action adventure
Flatland The Film,Ladd Ehlinger Jr.,[],United States,Animation
I Am Legend,Francis Lawrence,"['Will Smith', 'Alice Braga', 'Salli Richardson-Whitfield']",United States,[nb 19]
Illegal Aliens,David Giancola,"['Joanie ""Chyna"" Laurer', 'Anna Nicole Smith', 'Dennis Lemoine']",United States,Comedy
The Invasion,Oliver Hirschbiegel,"['Nicole Kidman', 'Daniel Craig', 'Jeremy Northam']",United States,Thriller
The Last Mimzy,Bob Shaye,"[""Chris O'Neil, "", 'Rhiannon Leigh Wryn', 'Timothy Hutton']",United States,Family adventure
Meet the Robinsons,Stephen Anderson,[],United States,Animation
The Mist,Frank Darabont,"['Thomas Jane', 'Marcia Gay Harden']",United States,Horror
Next,Lee Tamahori,"['Nicolas Cage', 'Julianne Moore', 'Jessica Biel']",United States,Action thriller
"Paragraf 78, Punkt 1",Mikhail Khleborodov,[],Russia,[80]
Resident Evil: Extinction,Russell Mulcahy,"['Milla Jovovich', 'Oded Fehr', 'Ali Larter']",United States,Action horror
Sex and Death 101,Daniel Waters,"['Simon Baker', 'Winona Ryder', 'Leslie Bibb', 'Patton Oswalt']",United States,Dark Comedy
Spider-Man 3,Sam Raimi,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",United States,[81]
Sunshine,Danny Boyle,"['Cillian Murphy', 'Chris Evans', 'Rose Byrne']",United States,Thriller
Superman: Doomsday,Bruce Timm,"['Adam Baldwin', 'Anne Heche', 'James Marsters']",United States,Animated superhero film
Timecrimes,Nacho Vigalondo,"['Karra Elejalde', 'Barbara Goenaga', 'Nacho Vigalondo']",Spain,Time-travel mystery
TMNT,Kevin Munroe,"['Chris Evans', ' (voice), ', 'Sarah Michelle Gellar', ' (voice), ', 'Patrick Stewart', ' (voice), ', 'Mako', ' (voice)']",United States,Animation
Tokyo Gore Police,Yoshihiro Nishimura,"['Eihi Shiina', 'Itsuji Itao', ', Yukihide Benny']",Japan,[83]
Transformers,Michael Bay,"['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel', 'Tyrese Gibson']",United States,Action thriller
The Man from Earth,,['John Billingsley'],United States,Drama
Underdog,Frederik Du Chau,"['Jason Lee', ' (voice), ', 'Peter Dinklage', ' (voice), ', 'James Belushi', ' (voice)']",United States,Animation
Vexille,Fumihiko Sori,[],Japan,Anime
20th Century Boys,Yukihiko Tsutsumi,"['Toshiaki Karasawa', 'Etsushi Toyokawa', 'Takako Tokiwa']",Japan,
Alien Raiders,Ben Rock,"['Carlos Bernard', 'Mathew St. Patrick', 'Courtney Ford', 'Rockmond Dunbar']",United States,Horror
Babylon A.D.,Mathieu Kassovitz,"['Vin Diesel', 'Michelle Yeoh']",France,Action adventure
Blindness,Fernando Meirelles,"['Julianne Moore', 'Mark Ruffalo', 'Danny Glover']",United States,[
City of Ember,Gil Kenan,"['Saoirse Ronan', 'Harry Treadaway', 'Bill Murray', 'Mackenzie Crook']",United States,Fantasy adventure
CJ7,Stephen Chow,"['Stephen Chow', 'Kitty Zhang Yuqi']",Hong Kong,Comedy
The Clone Returns Home,Kanji Nakajima,"['Mitsuhiro Oikawa', 'Eri Ishida', 'Hiromi Nagasaku', 'Kyûsaku Shimada']",Japan,
Cloverfield,Matt Reeves,"['Michael Stahl-David', 'Mike Vogel', 'Odette Yustman']",United States,Monster movie
Cyborg Soldier,John Stead,"['Rich Franklin', 'Tiffani Thiessen', 'Bruce Greenwood']",United States,
Dante 01,Marc Caro,"['Lambert Wilson', 'Dominique Pinon']",France,Thriller
Dasavathaaram,K.S.Ravikumar,"['Kamal Hassan', 'Asin Thottumkal']",India,Action disaster
The Day the Earth Stood Still,Scott Derrickson,"['Keanu Reeves', 'Jennifer Connelly', 'Kathy Bates']",United States,Drama thriller
Death Race,Paul W. S. Anderson,"['Jason Statham', 'Joan Allen', 'Ian McShane']",United States,Action
Doomsday,Neil Marshall,"['Rhona Mitra', 'Bob Hoskins', 'Malcolm McDowell']",United Kingdom,Action thriller
Far Cry,Uwe Boll,"['Til Schweiger', 'Emmanuelle Vaugier', 'Craig Fairbrass']",Canada,Action adventure
Franklyn,Gerald McMorrow,"['Ryan Phillippe', 'Eva Green', 'Sam Riley']",United Kingdom,Fantasy drama
The Happening,M. Night Shyamalan,"['Mark Wahlberg', 'Zooey Deschanel', 'John Leguizamo']",United States,Thriller
The Inhabited Island,Fyodor Bondarchuk,"['Sergei Barkovsky', 'Fyodor Bondarchuk', 'Pyotr Fyodorov']",Russia,Action adventure
The Incredible Hulk,Louis Leterrier,"['Edward Norton', 'Liv Tyler', 'Tim Roth', 'William Hurt']",United States,Superhero
Iron Man,Jon Favreau,"['Robert Downey Jr.', 'Terrence Howard', 'Gwyneth Paltrow', 'Jeff Bridges']",United States,Superhero
Jumper,Doug Liman,"['Hayden Christensen', 'Samuel L. Jackson', 'Rachel Bilson']",United States,Action adventure
Justice League: The New Frontier,Dave Bullock,"['David Boreanaz', 'Miguel Ferrer', 'Neal Patrick Harris']",United States,Animated superhero film
Love Story 2050,Harry Baweja,"['Priyanka Chopra', 'Harman Baweja']",India,Action drama
Meet Dave,Brian Robbins,"['Eddie Murphy', 'Gabrielle Union', 'Ed Helms']",United States,Family comedy
The Mutant Chronicles,Simon Hunter,"['Thomas Jane', 'Ron Perlman', 'Devon Aoki']",United States,Action horror
