Title,Director,Cast,Country,"Subgenre/Notes
"
Blade Runner 2049,Denis Villeneuve,"['Harrison Ford', 'Ryan Gosling', 'Robin Wright', 'Dave Bautista', 'Ana de Armas']",United States,
Blame!,Hiroyuki Seshita,[],Japan,
Bokeh,Geoffrey Orthwein,"['Maika Monroe', ""Matt O'Leary"", 'Arnar Jónsson']",United States,Drama
The Circle,James Ponsoldt,"['Tom Hanks', 'Emma Watson', 'Patton Oswalt']",United States,
Despicable Me 3,Pierre Coffin,['Steve Carell'],United States,
Downsizing,Alexander Payne,"['Matt Damon', 'Christoph Waltz']",United States,Comedy-drama
Geostorm,Dean Devlin,"['Gerard Butler', 'Abbie Cornish']",United States,Disaster film
Ghost in the Shell,Rupert Sanders,"['Scarlett Johansson', 'Pilou Asbæk']",United States,1995 anime remake
Godzilla: Planet of the Monsters,Kōbun Shizuno,[],Japan,
Guardians of the Galaxy Vol. 2,James Gunn,"['Chris Pratt', 'Dave Bautista', 'Zoe Saldana']",United States,Superhero
How to Talk to Girls at Parties,John Cameron Mitchell,"['Elle Fanning', 'Alex Sharp', 'Nicole Kidman', 'Ruth Wilson', 'Matt Lucas']",United Kingdom,Romantic comedy
Kill Switch,Tim Smit,"['Dan Stevens', 'Bérénice Marlohe', 'Tygo Gernandt', 'Charity Wakefield', 'Bas Keijzer', 'Mike Libanon', 'Mike Reus']",United States,
Justice League,Zack Snyder,"['Henry Cavill', 'Ben Affleck', 'Gal Gadot', 'Jason Momoa', 'Ezra Miller', 'Ray Fisher']",United States,
The Last Scout,Simon Phillips,"['Blaine Grey', 'Simon Phillips', 'Peter Woodward']",United Kingdom,[42]
Life,Daniel Espinosa,"['Ryan Reynolds', 'Rebecca Ferguson', 'Jake Gyllenhaal', 'Hiroyuki Sanada']",United States,Horror thriller
Logan,James Mangold,"['Hugh Jackman', 'Patrick Stewart', 'Dafne Keen']",United States,Superhero drama
The Man with the Magic Box,Bodo Kox,"['Olga Bołądź', 'Piotr Polak', 'Sebastian Stankiewicz']",Poland,"Dystopian thriller, time travel"
OtherLife,Ben C. Lucas,"['Jessica De Gouw', 'T.J. Power', ', Thomas Cocquerel, Clarence Ryan, ', 'Tiriel Mora', ', Adriane Daff']",Australia,Thriller
Power Rangers,Dean Israelite,"['Naomi Scott', 'Becky G', 'RJ Cyler', 'Dacre Montgomery', 'Ludi Lin']",United States,Superhero 
The Recall,Mauro Borrelli,"['Wesley Snipes', 'RJ Mitte']",United States,
Resident Evil: The Final Chapter,Paul W. S. Anderson,"['Milla Jovovich', 'Ali Larter', 'Shawn Roberts']",United States,Horror action
Revolt,Joe Miale,"['Lee Pace', 'Bérénice Marlohe']",United States,
The Space Between Us,Peter Chelsom,"['Asa Butterfield', 'Britt Robertson', 'Gary Oldman']",United States,Romantic drama
Star Wars: The Last Jedi,Rian Johnson,"['Adam Driver', 'Daisy Ridley', 'John Boyega', 'Oscar Isaac']",United States,Space opera
Thor: Ragnarok,Taika Waititi,"['Chris Hemsworth', 'Tom Hiddleston', 'Cate Blanchett']",United States,Superhero
Transformers: The Last Knight,Michael Bay,"['Mark Wahlberg', 'Isabela Moner', 'Josh Duhamel', 'Tyrese Gibson']",United States,Action
Valerian and the City of a Thousand Planets,Luc Besson,"['Dane DeHaan', 'Cara Delevingne', 'Clive Owen', 'Rihanna', 'Ethan Hawke']",France,
War for the Planet of the Apes,Matt Reeves,"['Andy Serkis', 'Steve Zahn', 'Woody Harrelson']",United States,
Werewolves of the Third Reich,Andrew Jones,"['Annabelle Lanyon, Lee Bane, Derek Nelson']",United Kingdom,Horror
What Happened to Monday,Tommy Wirkola,"['Noomi Rapace', 'Willem Dafoe', 'Glenn Close']",United Kingdom,
2.0,S. Shankar,"['Rajinikanth', 'Amy Jackson']",India,
Annihilation,Alex Garland,"['Natalie Portman', 'Jennifer Jason Leigh', 'Tessa Thompson']",United States,
Anon,Andrew Niccol,"['Clive Owen', 'Amanda Seyfried']",United States,
Ant-Man and the Wasp,Peyton Reed,"['Paul Rudd', 'Evangeline Lilly', 'Michael Douglas']",United States,
Avengers: Infinity War,Russo brothers,"['Robert Downey Jr.', 'Josh Brolin', 'Chris Evans', 'Scarlett Johansson']",United States,
Black Panther,Ryan Coogler,"['Chadwick Boseman', ""Lupita Nyong'o"", 'Michael B. Jordan']",United States,[44]
Bumblebee,Travis Knight,"['Hailee Steinfeld', 'John Cena']",United States,
The Cloverfield Paradox,Julius Onah,"['David Oyelowo', 'Gugu Mbatha-Raw']",United States,
Deadpool 2,David Leitch,"['Ryan Reynolds', 'Josh Brolin']",United States,
Extinction,Ben Young,"['Michael Peña', 'Lizzy Caplan']",United States,
The First Purge,Gerard McMurray,[],United States,
Godzilla: City on the Edge of Battle,Kōbun Shizuno,[],Japan,
Godzilla: The Planet Eater,Kōbun Shizuno,[],Japan,
High Life,Claire Denis,"['Robert Pattinson', 'Mia Goth', 'Juliette Binoche']",United Kingdom,
Hotel Artemis,Drew Pearce,"['Jodie Foster', 'Sterling K. Brown', 'Sofia Boutella', 'Jeff Goldblum']",United States,
The Humanity Bureau,Rob W. King,"['Nicolas Cage', 'Sarah Lind']",Canada,
Jurassic World: Fallen Kingdom,Juan Antonio Bayona,"['Chris Pratt', 'Bryce Dallas Howard']",United States,
Kin,"Jonathan Baker, Josh Baker","['Jack Reynor', 'James Franco']",United States,
Maze Runner: The Death Cure,Wes Ball,"[""Dylan O'Brien""]",United States,
Mortal Engines,Christian Rivers,"['Robert Sheehan', 'Hera Hilmar', ', Leila George, ', 'Ronan Raftery', 'Hugo Weaving', 'Stephen Lang']",United States,
Mute,Duncan Jones,"['Alexander Skarsgård', 'Paul Rudd', 'Justin Theroux']",United Kingdom,
Overlord,Julius Avery,"['Jovan Adepo', 'Wyatt Russell', ', Mathilde Ollivier']",United States,Science fiction horror
Pacific Rim Uprising,Steven S. DeKnight,"['John Boyega', 'Cailee Spaeny', 'Scott Eastwood']",United States,
The Predator,Shane Black,"['Boyd Holbrook', 'Olivia Munn', 'Trevante Rhodes']",United States,
Prospect,"Zeek Earl, Christopher Caldwell","['Sophie Thatcher, ', 'Pedro Pascal']",United States,
Ready Player One,Steven Spielberg,"['Tye Sheridan', 'Olivia Cooke']",United States,
Solo: A Star Wars Story,Ron Howard,"['Alden Ehrenreich', 'Donald Glover', 'Emilia Clarke', 'Woody Harrelson']",United States,
The Titan,Lennart Ruff,"['Sam Worthington', 'Taylor Schilling']",United Kingdom,
Upgrade,Leigh Whannell,['Logan Marshall-Green'],Australia,
Venom,Ruben Fleischer,"['Tom Hardy', 'Michelle Williams', 'Riz Ahmed']",United States,
Alita: Battle Angel,Robert Rodriguez,"['Rosa Salazar', 'Mahershala Ali', 'Christoph Waltz']",United States,
Aniara,Pella Kågerman,"['Emelie Jonsson', 'Bianca Cruzeiro', 'Arvin Kananian']",Sweden,
Avengers: Endgame,Russo brothers,"['Robert Downey Jr.', 'Josh Brolin', 'Chris Evans', 'Scarlett Johansson']",United States,
Brightburn,David Yarovesky,"['Elizabeth Banks', 'David Denman']",United States,
Captain Marvel,Anna Boden and Ryan Fleck,"['Brie Larson', 'Samuel L. Jackson', 'Jude Law']",United States,
Captive State,Rupert Wyatt,"['John Goodman', 'Vera Farmiga', 'Ashton Sanders', 'Jonathan Majors']",United States,
Crazy Alien,Ning Hao,"['Huang Bo', 'Shen Teng', 'Matthew Morrison']",China,
Dark Phoenix,Simon Kinberg,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence']",United States,
Godzilla: King of the Monsters,Michael Dougherty,"['Millie Bobby Brown', 'Kyle Chandler', 'Vera Farmiga']",United States,
I Am Mother,Grant Sputore,"['Clara Rugaard', 'Rose Byrne', 'Hilary Swank']",Australia,
Io,Jonathan Helpert,"['Margaret Qualley', 'Anthony Mackie']",United States,
Iron Sky: The Coming Race,Timo Vuorensola,"['Julia Dietze', 'Udo Kier', 'Tom Green']",Finland,
Men in Black: International,F. Gary Gray,"['Chris Hemsworth', 'Tessa Thompson']",United States,
Project Ghazi,Nadir Shah,"['Humayun Saeed', 'Sheheryar Munawar', 'Syra Shehroz', 'Adnan Jaffar', 'Talat Hussain', ', Amir Qureshi, Nusrat Hidayutullah, Raza Hyder']",Pakistan,
Replicas,Jeffrey Nachmanoff,"['Keanu Reeves', 'Alice Eve']",United States,
Short Circuit,Faisal Hashmi,"['Dhvanit Thaker', ', Kinjal Rajpriya']",India,Comedy drama
The Wandering Earth,Frant Gwo,"['Wu Jing', 'Qu Chuxiao', 'Li Guangjie']",China,
Ad Astra,James Gray,"['Brad Pitt', 'Tommy Lee Jones']",United States,"September 20, 2019"
Gemini Man,Ang Lee,"['Will Smith', 'Mary Elizabeth Winstead']",United States,"October 4, 2019"
Star Wars: The Rise of Skywalker,J. J. Abrams,"['Adam Driver', 'Daisy Ridley', 'John Boyega', 'Oscar Isaac']",United States,"December 20, 2019"
Terminator: Dark Fate,Tim Miller,"['Arnold Schwarzenegger', 'Linda Hamilton']",United States,"November 1, 2019"
The Three-Body Problem,Panpan Zhang,['Zhang Jingchu'],China,[46]
Warriors of Future,Ng Yuen-fai,"['Louis Koo', 'Sean Lau']",Hong Kong,
